## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.availability,entity.color,entity.size,entity.weight,entity.brand
1761987,Panasonic TX-50HXW584 4K Ultra HD HDR LED Smart TV,Electronics,Cutting edge titanium with round case,https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761987_RL_06_w720_c255255255255.jpg?1622643251841,192000,https://www.worldshop.eu/en/panasonic-tx-50hxw584-4k-ultra-hd-hdr-led-smart-tv-50-prime-black-1761987/?p=0P0EQvsbF8g,10,1.25,in stock,Black,"50""",12.5 kg.,Panasonic
1761203,Segway Ninebot KickScooter E25D,Lifestyle,"The Ninebot KickScooter E25 D from Segway unites functionality, style and comfort. It runs at up to 20 km/h and offers a greater range* than its predecessor (up to 25 kilometres)",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761203_RL_01_w720_c255255255255.jpg?1618974300298,148000,https://www.worldshop.eu/en/segway-ninebot-kickscooter-e25d-black-1761203/?p=7F5dUSpW9OY,3,1.15,in stock,Gray,117 x 116 x 42 cm,14 kg.,Segway
1759596,travelite NEXT 4-Wheel Trolley S,Travel,"Experience a whole new level of durability and security. The NEXT frame case by travelite is synonymous with robustness, impact resistance and carefree travel. ",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1759596_RL_01_w720_c255255255255.jpg?1618974300298,67000,https://www.worldshop.eu/en/travelite-next-4-wheel-trolley-s-silver-1759596/?p=1Es8uIOSaHw,15,1.75,in stock,Silver,39 x 55 x 22cm,3.7 kg.,travelite
1761210,Philips OneBlade Pro QP6550/15 Face & Body Trimmer,Personal care,"One tool for all of your styles: with the Philips OneBlade Pro Face & Body you can easily trim, style and shave any length of hair. ",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761210_RL_01_w720_c255255255255.jpg?1618974300298,23000,https://www.worldshop.eu/en/philips-oneblade-pro-qp6550-15-face-body-trimmer-chrome-coloured-1761210/?p=tJV6QvSKcQE,20,1.5,in stock,Chrome,20 x 12 x 5cm,900 g.,Philips
1761637,Calvin Klein Core Stripe Medium Drawstring Swim Shorts,Fashion,"Medium-length shorts with drawstring, elasticated waist and side pockets. The quick-drying shorts feature a logo on the leg.",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761637_RL_01_w720_c255255255255.jpg?1618974300298,17000,https://www.worldshop.eu/en/calvin-klein-core-stripe-medium-drawstring-swim-shorts-men-s-black-flame-scarlet-stripe-1761637/?p=XVdxEEJqW9o,3,0.85,last units,Scarlet,M,100 g.,Calvin Klein
1757710,Lumos Kickstart Bike Helmet,Sports,Smart bicycle helmet for maximum security on the roads: 48 LED lights ensure top visibility in all weather and light conditions.,https://www.worldshop.eu/medias/sys_master/genmedia_PIC1757710_RL_01_w720_c255255255255.jpg?1618974300298,45000,https://www.worldshop.eu/en/lumos-kickstart-bike-helmet-charcoal-black-1757710/?p=JeDH1tFX3VY,5,1.25,in stock,Black,L,245 g.,Lumos
1761165,Steiner BluHorizons 10 x 42 Binoculars,Outdoors,The BluHorizons 10 x 42 binoculars from Steiner deliver innovation in a pocket-sized form,https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761165_RL_01_w1260_c255255255255.jpg?1618974300298,93000,https://www.worldshop.eu/en/steiner-bluhorizons-10-x-42-binoculars-dark-grey-silver-1761165/?p=KuMM7R94ut4,2,1,last units,Black and Silver,12.5 x 14.7 x 6 cm,740 g.,Steiner
1761369,"Bose SoundLink Revolve II Bluetooth® Speaker,",Electronics,"Deep. Powerful. And impressive. The SoundLink Revolve II Bluetooth® speaker delivers true 360° sound for consistent, uniform coverage",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761369_RL_01_w1260_c255255255255.jpg?1618974300298,49000,https://www.worldshop.eu/en/bose-soundlink-revolve-ii-bluetooth-speaker-triple-black-1761369/?p=6Mfcjf8pRFc,10,1.5,in stock,Black,8.2 x 15.2 x 8.2 cm,660 g.,Bose
1760784,Philips Airfryer Essential XL,Home,"Hot air is the new oil - for healthy, light frying. The Philips Essential Airfryer XL is equipped with superior Rapid Air technology",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1760784_RL_01_w1260_c255255255255.jpg?1618974300298,58000,https://www.worldshop.eu/en/philips-airfryer-essential-xl-black-1760784/?p=s-A-lelUBaI,3,1.35,last units,Black,40.3 x 31.5 x 30.7 cm,5.5 kg.,Philips
1761049,Janod Reverso Large Toy Kitchen with Functional Features,Toys,"Ready, steady, cook! Aspiring young chefs will love this toy kitchen. The high-quality wooden toy kitchen is double-sided, enabling solo or group play.",https://www.worldshop.eu/medias/sys_master/genmedia_PIC1761049_RL_02_w1260_c255255255255.jpg?1618974300298,46000,https://www.worldshop.eu/en/janod-reverso-large-toy-kitchen-functional-features-pastel-incl-accessories-1761049/?p=IEg4J5zRuYA,10,1.15,in stock,Pastel,55 x 90.5 x 32 cm,7 kg.,Janod
